title, price, delivery_price, img, category 
"Apple 애플펜슬 USB-C MUWA3KH/A, 화이트, 1개",104000,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qo0c0xni/87e9c4cc63f949a5b7ab8df6e84965c1.jpg,1
"코드나인 무선 듀얼 스윙 미니 가습기, CN23082",20900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/1ox05wgc/dcb0519325ae4e22b2780e5164f0b15e.jpg,1
"키친플라워 터보3 인덕션 레인지, KEP-IH5000SKCP, 상세 설명 참조",43800,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7272525373372642-3960e508-3c42-4508-9441-b3ed03054f64.jpg,1
"위즈웰 접이식 전기포트 1L, WK3616",37830,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/1cfqpi1d/67ad286875c54efa948eb3291a612b65.jpg,1
"키친아트 전기주전자 프리미오 포터블 폴딩포트 0.6L, KK-750HF",26760,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1998588272697561-adaf8785-1826-468c-8688-065018235f8d.jpg,1
"Apple 2022 아이패드 에어 5세대, 스페이스 그레이, 64GB, Wi-Fi",869900,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/465847261455904-da166504-2455-4a12-9c43-6621df2b229c.jpg,1
"유닉스 테이크아웃 시즌4 무선고데기, UCI-A2022, 민트그린",30900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/11/13/2/58e4c3dd-5a97-4bdd-a638-bf9b675b1afb.jpg,1
"Apple 정품 2022 아이패드 프로 11 4세대 M2칩, 스페이스그레이, 128GB, Wi-Fi",1153510,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2357375067861117-98f5d372-f2c0-4914-8deb-1fe70e8df7d6.jpg,1
"Apple 정품 240W USB-C 충전 케이블, 2m, 화이트, 1개",44900,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/09/18/13/0/7e74c65c-24f3-4516-90f5-41ec3dc290d8.jpg,1
"유닉스 뿌리 볼륨 고데기 UCI-A2929, 블랙",26900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/21/11/2/dcd3f2df-5767-441c-a10d-86f17b83fd4d.jpg,1
